"Customer_ID","Year_Birth","Education_Level","Marital_Status","Annual_Income","Kidhome","Teenhome","Dt_Customer","Last_Interaction","Feedback_Complaint","Spend_Wine","Spend_OrganicFood","Spend_Meat","Spend_WellnessProducts","Spend_Treats","Spend_LuxuryGoods","Purchases_Online","Purchases_Catalog","Purchases_Store","Visits_OnlineLastMonth","Promo_Purchases","Accepted_Offer1","Accepted_Offer2","Accepted_Offer3","Accepted_Offer4","Accepted_Offer5","Response_Latest","Age","Total_Spending","Avg_Spend_Per_Purchase","Online_Preference","Promo_Response_Rate","Factor 1","Factor 2","Factor 3","Factor 4","Factor 5"
5524,1957,"Graduation","Single",58138,0,0,"04/09/2012",58,0,635,81,546,120.5,81,88,8,10,4,7,3,0,0,0,0,0,1,68,1551.5,70.5227272727273,0.363636363636364,0.136363636363636,2.23071481936964,2.26736297199397,0.49770784304995,0.0342899926874347,0.950179884957002
2174,1954,"Graduation","Single",46344,1,1,"08/03/2014",38,0,11,1,6,2,1,6,1,1,2,5,2,0,0,0,0,0,0,71,27,6.75,0.25,0.5,-0.857148252773552,-0.905042183276336,-1.43986913934713,0.608736250082412,-0.800847138703443
4141,1965,"Graduation","Together",71613,0,0,"21/08/2013",26,0,426,49,127,111,21,42,8,2,10,4,1,0,0,0,0,0,0,60,776,38.8,0.4,0.05,0.896141891673887,0.192301271552199,1.45977405804784,-0.921760742388825,1.02784856868237
6182,1984,"Graduation","Together",26646,1,0,"10/02/2014",26,0,11,4,20,10,3,5,2,0,4,6,2,0,0,0,0,0,0,41,53,8.83333333333333,0.333333333333333,0.333333333333333,-0.76072504113475,-1.04499540311019,-0.803238147977241,0.185102093381156,-0.215687952903252
5324,1981,"PhD","Married",58293,1,0,"19/01/2014",94,0,173,43,118,46,27,15,5,3,6,5,5,0,0,0,0,0,0,44,422,30.1428571428571,0.357142857142857,0.357142857142857,0.301168546389057,0.0767511593783211,0.188034646521125,1.42546798585741,0.418631474007826
7446,1967,"Master","Together",62513,0,1,"09/09/2013",16,0,520,42,98,0,42,14,6,4,10,6,2,0,0,0,0,0,0,58,716,35.8,0.3,0.1,0.102902338848183,0.648450773455639,1.2558607342467,-0.438339882601687,0.106730162700655
965,1971,"Graduation","Divorced",55635,0,1,"13/11/2012",34,0,235,65,164,50,49,27,7,3,7,6,4,0,0,0,0,0,0,54,590,34.7058823529412,0.411764705882353,0.235294117647059,0.791765651832022,0.265798985479868,0.72743570317248,0.753496071092044,1.0840044356716
6177,1985,"PhD","Married",33454,1,0,"08/05/2013",32,0,76,10,56,3,1,23,4,0,4,8,2,0,0,0,0,0,0,40,169,21.125,0.5,0.25,-0.773077831540463,-0.853181522059211,-0.560042826396503,0.0481832074443938,1.10061171502378
4855,1974,"PhD","Together",30351,1,0,"06/06/2013",19,0,14,0,24,3,3,2,3,0,2,9,1,0,0,0,0,0,1,51,46,9.2,0.6,0.2,-0.928661045616853,-0.938891341770241,-1.0640041618145,-0.502696804330757,0.937425738918687
5899,1950,"PhD","Together",5648,1,1,"13/03/2014",68,0,28,0,6,1,1,13,1,0,0,20,1,1,0,0,0,0,0,75,49,49,1,1,-0.964729616785432,-1.3968717484115,-2.35392780254714,0.537036676178498,0.573617736939994
1994,1983,"Graduation","Married",23477,1,0,"15/11/2013",11,0,5,5,6,0,2,1,1,0,2,7,1,0,0,0,0,0,0,42,19,6.33333333333333,0.333333333333333,0.333333333333333,-0.911342025064152,-1.15156374980435,-1.37795515700322,-0.207343377473593,-0.353619676278238
387,1976,"Basic","Married",7500,0,0,"13/11/2012",59,0,6,16,11,11,1,16,2,0,3,8,1,0,0,0,0,0,0,49,61,12.2,0.4,0.2,-0.726502585174004,-1.02579124401823,-0.942084891177854,-0.542004218690788,0.168621125816443
2125,1959,"Graduation","Divorced",63033,0,0,"15/11/2013",82,0,194,61,480,120.5,81,30,3,4,8,2,1,0,0,0,0,0,0,66,966.5,64.4333333333333,0.2,0.0666666666666667,2.09418413117915,0.294668477440548,0.404440159226109,-1.09064048660846,-1.21244280020106
8180,1952,"Master","Divorced",59354,1,1,"15/11/2013",53,0,233,2,53,3,5,14,6,1,5,6,3,0,0,0,0,0,0,73,310,25.8333333333333,0.5,0.25,-0.754215875284519,-0.295053003881973,0.0780773326238262,0.436042650113456,1.46988378099086
2569,1987,"Graduation","Married",17323,0,0,"10/10/2012",38,0,3,14,17,6,1,5,1,0,3,8,1,0,0,0,0,0,0,38,46,11.5,0.25,0.25,-0.81712764859142,-1.06739430089076,-0.962128051023704,-0.456617503159711,-0.781938124773163
2114,1946,"PhD","Single",82800,0,0,"24/11/2012",23,0,1006,22,115,59,68,45,7,6,12,3,1,0,0,1,1,0,1,79,1315,52.6,0.28,0.04,0.786444921641609,1.42839733269599,1.82198551975158,-1.02988409073356,-0.0424410156182518
9736,1980,"Graduation","Married",41850,1,1,"24/12/2012",51,0,53,5,19,2,13,4,3,0,3,8,3,0,0,0,0,0,0,45,96,16,0.5,0.5,-0.780790557401914,-1.13764447839722,-1.23028081239559,1.13355029362146,0.94395487943499
4939,1946,"Graduation","Together",37760,0,0,"31/08/2012",20,0,84,5,38,120.5,12,28,4,1,6,7,2,0,0,0,0,0,0,79,287.5,26.1363636363636,0.363636363636364,0.181818181818182,0.196451971740603,-0.562923809695649,-0.00878069272032779,-0.201159993813037,0.261686962591367
6565,1949,"Master","Married",76995,0,1,"28/03/2013",91,0,1012,80,498,0,16,126.5,11,4,9,5,2,0,0,0,1,0,0,76,1732.5,72.1875,0.458333333333333,0.0833333333333333,0.737712948025012,1.17914368121921,1.58332496265915,-0.43485759855467,1.54682528806252
2278,1985,"2n Cycle","Single",33812,1,0,"03/11/2012",86,0,4,17,19,30,24,39,2,1,3,6,2,0,0,0,0,0,0,40,133,22.1666666666667,0.333333333333333,0.333333333333333,-0.235898250131007,-0.810691756331835,-0.985246283685149,0.180808949421585,-0.214893755281314
9360,1982,"Graduation","Married",37040,0,0,"08/08/2012",41,0,86,2,73,69,38,48,4,2,5,8,1,0,0,0,0,0,0,43,316,28.7272727272727,0.363636363636364,0.0909090909090909,0.0809716582089333,-0.212151431250875,-0.110023042391953,-0.836478926777981,0.279810761754718
5376,1979,"Graduation","Married",2447,1,0,"06/01/2013",42,0,1,1,556,1,1,1,0,28,0,1,15,0,0,0,0,0,0,46,561,20.0357142857143,0,0.535714285714286,-0.0951121863137465,1.63281851322861,-1.41506840894982,2.0181238401062,-2.47262420720334
1993,1949,"PhD","Married",58607,0,1,"23/12/2012",63,0,867,0,86,0,0,19,2,3,9,8,3,0,1,0,0,0,0,76,972,69.4285714285714,0.142857142857143,0.214285714285714,-0.890543543482569,0.234349373600603,0.648543914685261,0.177009731099064,-1.41727792261897
4047,1954,"PhD","Married",65324,0,1,"11/01/2014",0,0,384,0,102,21,32,5,6,2,9,4,3,0,0,0,0,0,0,71,544,32,0.352941176470588,0.176470588235294,-0.226503242345601,0.0862523172913281,1.02632072822294,0.15777559836449,0.466062554067968
1409,1951,"Graduation","Together",40689,0,1,"18/03/2013",69,0,270,3,27,39,6,99,7,1,5,8,7,0,0,0,0,0,0,74,444,34.1538461538462,0.538461538461538,0.538461538461538,-0.477877660690873,-0.33193360984957,0.0619124508453237,2.47269570092123,1.84553629004717
7892,1969,"Graduation","Single",18589,0,0,"02/01/2013",89,0,6,4,25,15,12,13,2,1,3,7,2,0,0,0,0,0,0,56,75,12.5,0.333333333333333,0.333333333333333,-0.650197732477961,-0.774426958113559,-0.989860777580674,0.191347937354975,-0.179329412844796
2404,1976,"Graduation","Married",53359,1,1,"27/05/2013",4,0,173,4,30,3,6,41,5,1,4,7,4,0,0,0,0,0,0,49,257,25.7,0.5,0.4,-0.753107299661481,-0.496644710208558,-0.427612454849936,1.25052320343235,1.33942483889472
5255,1986,"Graduation","Single",69674,1,0,"20/02/2013",19,0,5,1,3,3,81,126.5,27,0,0,1,0,0,0,0,0,0,0,39,219.5,8.12962962962963,1,0,0.149398429005358,-0.184906648365241,0.0945712243860978,-1.4289505888154,2.25764303052742
